priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
1,content_c8e9d6ab9013,client_19581e27de,1.0,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",20.0,208678,0,-43.4,104,,362
2,content_39881853ef0c,client_f369cb89fc,0.9999999998202205,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",170.0,112434,10,-42.0,20,2810.0,97
3,content_453722754fea,client_f369cb89fc,0.9999999853510515,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,140079,16,-52.9,20,2700.0,97
4,content_54baba704595,client_6208ef0f77,0.9999999760129307,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,130617,8,-54.8,104,5813.0,286
5,content_fb4bf6555c79,client_6208ef0f77,0.9999999615748215,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,84093,3,-83.0,104,6681.0,299
6,content_e752a4e03dd3,client_6208ef0f77,0.9999999362882918,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,130892,15,-52.7,104,6442.0,287
7,content_109f8f7c9d39,client_6208ef0f77,0.9999997285576017,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,90476,6,126.8,104,7295.0,299
8,content_65114d89496d,client_19581e27de,0.999999569433121,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,72631,12,-74.8,22,,482
9,content_e5f459e737b7,client_f369cb89fc,0.999997418583463,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",30.0,56363,3,-27.2,20,2916.0,147
10,content_6e28a04c07a8,client_6208ef0f77,0.9999774660481329,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,41226,2,-39.0,104,6367.0,139
11,content_a7c2dfc8a6ec,client_7f2253d7e2,0.9999736002109564,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,76868,8,-77.4,20,3723.0,141
12,content_5096a9d25fe5,client_6208ef0f77,0.9999650432926385,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,49158,4,-56.9,104,7180.0,300
13,content_5daaf566b54c,client_6208ef0f77,0.9999385862995004,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,50013,5,-55.9,104,8139.0,286
14,content_20e876d26019,client_7f2253d7e2,0.9995150315708055,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",1300.0,59949,11,-94.0,20,4346.0,224
15,content_bc18d49d8f6b,client_6208ef0f77,0.9994427412112477,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,32491,1,3.2,104,7043.0,287
16,content_df71843dcd17,client_8527a891e2,0.9993520105909867,Optimization review,"HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",30.0,27334,0,44.1,103,1329.0,237
17,content_21b3d827d451,client_3fdba35f04,0.9989613912375589,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",50.0,38894,4,-79.4,14,2593.0,165
18,content_39b6f6812582,client_6208ef0f77,0.9985556145192818,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,28972,1,-53.1,20,3441.0,111
19,content_75175d878762,client_6208ef0f77,0.9983915188191298,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,25748,1,-44.9,104,5335.0,299
20,content_095661034f9b,client_6208ef0f77,0.998238276879493,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,23513,1,-91.6,104,5633.0,287
21,content_f986bd514b6e,client_7f2253d7e2,0.9969823789379265,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,22456,1,-60.3,20,3803.0,172
22,content_d274ac4158ef,client_4e07408562,0.9968261344903743,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",40.0,65138,6,-11.8,26,1428.0,327
23,content_8b1eeb87a7c5,client_6208ef0f77,0.9965428249890308,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,26142,3,-78.8,104,5833.0,312
24,content_72fdb385e810,client_19581e27de,0.9964992448195117,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,19360,1,-11.8,104,,236
25,content_013a5d3dfc26,client_6208ef0f77,0.9960989623114611,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,65652,9,8.7,104,4540.0,148
26,content_09e76bfc75d9,client_19581e27de,0.9956369299805808,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",140.0,15906,1,-68.3,22,,466
27,content_ae6d1339904d,client_7f2253d7e2,0.9946687802641848,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,17622,0,-74.0,20,3612.0,141
28,content_ca17a024f90c,client_4e07408562,0.9922043679351136,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,38815,4,-56.8,7,2605.0,228
29,content_92beec70c9ff,client_7f2253d7e2,0.9900918399019607,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,15497,0,-80.0,20,3529.0,141
30,content_88aa778b4b07,client_7f2253d7e2,0.98981325187206,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,26755,4,-87.4,20,4537.0,132
31,content_94058fab0b5b,client_6208ef0f77,0.9869860325032405,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,54754,8,-56.5,104,6962.0,299
32,content_16d67f7f1084,client_7f2253d7e2,0.9864345694325307,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,19191,2,-84.5,20,4153.0,141
33,content_05133844bff4,client_19581e27de,0.9863767534906728,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,14803,0,-0.4,22,,482
34,content_825a9788af8d,client_4e07408562,0.9853688954553821,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",210.0,16786,0,-34.9,104,,421
35,content_deb54e9e19cd,client_3fdba35f04,0.985316700333765,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",60500.0,4560,0,-2.5,104,,463
36,content_eb1510f4b5f1,client_3fdba35f04,0.98405595090186,Optimization review,"HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",33100.0,12275,0,5.9,41,,463
37,content_1b5618af1d3a,client_8722616204,0.983352606518629,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,4,0,,104,6597.0,145
38,content_dd635253d90e,client_6208ef0f77,0.9829691368073257,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,33286,5,155.0,104,5359.0,139
39,content_12e48d4b449d,client_8527a891e2,0.9827750592802756,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",27100.0,10,0,-100.0,20,3579.0,348
40,content_2c887475bc3a,client_8722616204,0.9826230496118171,Freshness review,STALE,10.0,2,0,,104,7423.0,145
41,content_71f8734aebe2,client_8722616204,0.9821581313568847,Monitor,HIGH_DEMAND,27100.0,1,0,,8,3213.0,109
42,content_87b71326c01a,client_349c41201b,0.9819941300674556,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,7318,2,-23.0,8,5144.0,140
43,content_11d5bb2a5e03,client_6208ef0f77,0.9817914187602831,Monitor,HIGH_DEMAND,20.0,3,0,,20,7007.0,300
44,content_e25886a96f6c,client_e29c9c180c,0.9806344111680422,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",50.0,4,0,-100.0,144,6072.0,231
45,content_157c77771aba,client_25fc0e7096,0.9804224524305858,Monitor,REVIEW,,3,0,,8,6372.0,117
46,content_8ba781dafa55,client_8527a891e2,0.9803698110932277,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",2900.0,16156,0,-85.6,104,3343.0,348
47,content_427ad77dfb96,client_e29c9c180c,0.9800117738422153,Freshness review,STALE,10.0,2,0,,104,6268.0,230
48,content_d76b5adc47d1,client_e29c9c180c,0.9793982475323266,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,2,0,,144,5725.0,231
49,content_294856f557d8,client_e29c9c180c,0.979285347722563,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,7,0,-60.0,104,6450.0,225
50,content_214fd3d0206d,client_8722616204,0.9790978455503051,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,2,0,,104,5543.0,140
51,content_2d08f68d6553,client_e29c9c180c,0.9787698957106401,Freshness review,STALE,10.0,1,0,,104,6376.0,228
52,content_fe4b3bf89a95,client_6208ef0f77,0.9785306078256327,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,27294,3,-49.1,20,3618.0,98
53,content_fdf4e2543aec,client_8722616204,0.9784834531290286,Monitor,REVIEW,10.0,3,0,,20,6044.0,183
54,content_b8669a856b19,client_e29c9c180c,0.9782713238067603,Monitor,DECLINING,10.0,6,0,-100.0,20,6976.0,228
55,content_c0b9a0f11505,client_e29c9c180c,0.9782453753459291,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",110.0,2,0,,144,5400.0,231
56,content_cc4a21e578fd,client_8722616204,0.978208409872231,Freshness review,STALE,10.0,1,0,,104,5398.0,140
57,content_f988b4cba4ea,client_6208ef0f77,0.9781286639619069,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,16045,2,-71.8,104,6502.0,153
58,content_454cc6654c6e,client_3fdba35f04,0.9777716259386403,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",60500.0,4364,0,-52.8,104,,463
59,content_aa8a54a50d71,client_19581e27de,0.977759839555824,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,31648,8,-52.6,104,,148
60,content_b71a6021a871,client_e29c9c180c,0.9772388872272082,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",70.0,2,0,,144,5424.0,231
61,content_a31e10779c01,client_e29c9c180c,0.9768767239911423,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",3600.0,1,0,,144,4949.0,232
62,content_4e8b94c5938a,client_e29c9c180c,0.9768210459693997,Monitor,REVIEW,10.0,1,0,,20,6282.0,228
63,content_a2008fe5bbaa,client_6208ef0f77,0.975912638887518,Freshness review,STALE,0.0,7,0,0.0,104,6683.0,229
64,content_fc32c1d2e21f,client_25fc0e7096,0.9758724444667053,Monitor,REVIEW,,3,0,,8,5582.0,93
65,content_7275a6a3a8eb,client_e29c9c180c,0.9753823041568926,Freshness review,STALE,10.0,2,0,,104,5737.0,230
66,content_f6fdf87348f6,client_4ec9599fc2,0.9752839610219473,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,2,0,-100.0,373,,373
67,content_1d917effd100,client_6208ef0f77,0.9747697417400252,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,14495,1,-80.5,104,5400.0,139
68,content_fb58573ae799,client_e29c9c180c,0.9745855320566377,Freshness review,STALE,10.0,5,0,,104,5570.0,230
69,content_d277ac3b8de8,client_25fc0e7096,0.9739211154262445,Monitor,REVIEW,,3,0,,8,5515.0,119
70,content_0cc405838fc5,client_e29c9c180c,0.9739020182030901,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",210.0,1,0,,144,5117.0,231
71,content_692fda8c52bd,client_e29c9c180c,0.9738776133374549,Freshness review,STALE,10.0,1,0,,104,5445.0,230
72,content_a6223ddfe9ae,client_6208ef0f77,0.9737817488420691,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,3248,0,-28.5,104,6829.0,153
73,content_ba6bbb04f2a5,client_8722616204,0.9735663165310183,Freshness review,STALE,10.0,2,0,,104,5610.0,145
74,content_6b3a5a65c212,client_8722616204,0.9734323772731153,Freshness review,STALE,0.0,2,0,,104,5632.0,183
75,content_a5e122d6cb97,client_e29c9c180c,0.9732945131232463,Monitor,REVIEW,10.0,1,0,,20,5609.0,228
76,content_5ec29ae79c60,client_3fdba35f04,0.9732760047039237,Freshness review,"STALE, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",60500.0,2439,0,73.0,104,,463
77,content_638236e8066e,client_e29c9c180c,0.9732644752001939,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",140.0,1,0,-100.0,144,4714.0,231
78,content_1b4ec72dafd4,client_4ec9599fc2,0.9731967313281744,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,2,0,-100.0,372,,372
79,content_7736e6144f3b,client_624b60c58c,0.9731895741139471,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",,11,0,-33.3,304,4250.0,305
80,content_8d56efff1e71,client_4ec9599fc2,0.9730853249184859,Freshness review,STALE,0.0,1,0,,372,,372
81,content_9aac6f2de8c0,client_8722616204,0.9730156500895916,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",590.0,26,0,-100.0,104,6612.0,145
82,content_c2cca3b2a2ef,client_6208ef0f77,0.9729033850183594,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,26932,3,-41.5,104,4975.0,299
83,content_06bb30e08d5c,client_25fc0e7096,0.9728878018916906,Monitor,REVIEW,,3,0,,8,5176.0,118
84,content_598b60398f18,client_8722616204,0.9727269967135361,Freshness review,STALE,10.0,1,0,,104,5220.0,183
85,content_e85fdb527b85,client_8527a891e2,0.9724949757275317,Freshness review,STALE,10.0,3,0,,104,3823.0,310
86,content_c5048891b8a9,client_e29c9c180c,0.9724587183476423,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",880.0,5,0,,104,4896.0,231
87,content_1ec65d5f9fe9,client_e29c9c180c,0.9723325309886962,Monitor,REVIEW,10.0,1,0,,20,5615.0,228
88,content_5245c89bb64a,client_6208ef0f77,0.9721819841840776,Freshness review,STALE,0.0,210,0,79.5,104,8727.0,229
89,content_0021011e9850,client_19581e27de,0.9721365485303561,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",20.0,3327,1,-33.2,22,,466
90,content_577f34ff5c78,client_25fc0e7096,0.9721139603392861,Monitor,REVIEW,,3,0,,8,5187.0,101
91,content_42d6cad189c8,client_25fc0e7096,0.9719314132609007,Monitor,REVIEW,,3,0,,8,5220.0,126
92,content_64745a4ecadb,client_8527a891e2,0.9718357764854096,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",5400.0,3,0,-100.0,20,4107.0,348
93,content_2bd34b68b7a7,client_6208ef0f77,0.9718138162923802,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,9,0,-100.0,104,5815.0,223
94,content_28c5aa67942a,client_25fc0e7096,0.9717949326031399,Monitor,REVIEW,,3,0,,8,5061.0,103
95,content_bf67a444faef,client_3fdba35f04,0.9717215335594753,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",60500.0,3141,0,-20.0,104,,463
96,content_9e86fd4e5563,client_25fc0e7096,0.9715354135338794,Monitor,REVIEW,,3,0,,8,5119.0,127
97,content_c865ed29b025,client_02d20bbd7e,0.9714975043298485,Monitor,HIGH_DEMAND,2400.0,4,0,,8,4804.0,131
98,content_0db80d56bcdd,client_25fc0e7096,0.9714246290208368,Monitor,REVIEW,,3,0,,6,5332.0,104
99,content_3474a43ad37f,client_8527a891e2,0.9713861742848771,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",2400.0,4,0,-100.0,104,3656.0,310
100,content_881eb4b5ccf8,client_6208ef0f77,0.9713828059548584,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,55,0,-100.0,104,5850.0,312
101,content_273b6a2b78dd,client_25fc0e7096,0.971334216099248,Monitor,REVIEW,,3,0,,8,5007.0,123
102,content_17e6b2ba4b08,client_e29c9c180c,0.9713036682093598,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",170.0,4,0,-100.0,144,5071.0,231
103,content_c06616264b8d,client_8722616204,0.9712951520145792,Freshness review,STALE,10.0,6,0,,104,5340.0,189
104,content_b534be782352,client_e29c9c180c,0.97120034903926,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",90.0,2,0,,144,4501.0,231
105,content_ae2f5125a217,client_e29c9c180c,0.9711101699115489,Monitor,REVIEW,10.0,1,0,,20,5472.0,228
106,content_773bd855a931,client_e29c9c180c,0.9710696472931166,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,2,0,,104,5624.0,230
107,content_b00d7b66d256,client_e29c9c180c,0.9710400565371924,Monitor,REVIEW,10.0,1,0,,20,5924.0,228
108,content_6523714bbb5a,client_e29c9c180c,0.9710178486027139,Monitor,REVIEW,10.0,2,0,,20,5760.0,230
109,content_ccf25ed65a99,client_19581e27de,0.9708857470425126,Freshness review,STALE,10.0,2,0,,305,,313
110,content_dfb3be68b7c7,client_8527a891e2,0.9708628751182459,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",5400.0,10,0,,104,3818.0,418
111,content_974408128242,client_25fc0e7096,0.970824635094711,Monitor,REVIEW,,3,0,,8,5089.0,124
112,content_e315ff053961,client_25fc0e7096,0.9708185028131013,Monitor,REVIEW,,3,0,,8,5168.0,105
113,content_3a695aee8b25,client_25fc0e7096,0.9708161041650298,Monitor,REVIEW,,3,0,,8,5099.0,132
114,content_026a1e2a82fd,client_19581e27de,0.970618732677062,Freshness review,STALE,10.0,13,0,166.7,305,,313
115,content_e5384bde9bce,client_25fc0e7096,0.9705911017364817,Monitor,REVIEW,,3,0,,8,5032.0,132
116,content_ee0b1a048219,client_e29c9c180c,0.9705048946941207,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,3,0,-50.0,20,5674.0,230
117,content_ab608c204a51,client_e29c9c180c,0.9704064996922371,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,16,0,-57.1,104,5501.0,230
118,content_d7a934836838,client_25fc0e7096,0.9701595606451634,Monitor,REVIEW,,3,0,,8,5140.0,97
119,content_bf4e7e89e657,client_8722616204,0.9701560378832861,Freshness review,STALE,10.0,8,0,,104,5152.0,140
120,content_57d8360dee59,client_19581e27de,0.9700932763433067,Freshness review,STALE,10.0,10,0,200.0,305,,313
121,content_dd413158df3c,client_19581e27de,0.9700719312930145,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,13,0,-16.7,305,,313
122,content_8707338e76a6,client_8722616204,0.9700636175385206,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",70.0,38,0,-100.0,104,5769.0,183
123,content_e3a34c1706cf,client_8527a891e2,0.9700511451624805,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,2,0,-100.0,104,4074.0,127
124,content_ae6a3adf7533,client_e29c9c180c,0.9700323867164822,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",90.0,5,0,-100.0,144,4494.0,231
125,content_7bf4ee284434,client_e29c9c180c,0.9698863001265521,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",90.0,1,0,,144,4555.0,231
126,content_aa9fcfa9e45c,client_6208ef0f77,0.9698400509907033,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,12,0,-50.0,104,6279.0,229
127,content_2e8572ae5891,client_25fc0e7096,0.969817289992063,Monitor,REVIEW,,3,0,,8,4786.0,114
128,content_c63b065aef02,client_25fc0e7096,0.9698138412643793,Monitor,REVIEW,,3,0,,8,5082.0,107
129,content_004d8a5ce838,client_a88a7902cb,0.9697789944740279,Monitor,HIGH_DEMAND,18100.0,2,0,,20,2956.0,112
130,content_aad7c9e0532a,client_25fc0e7096,0.9697128159999381,Monitor,REVIEW,,3,0,,8,4948.0,131
131,content_260f9d48ab13,client_8722616204,0.9696801591652867,Freshness review,STALE,10.0,3,0,,104,5203.0,145
132,content_7a49e476dea2,client_8722616204,0.9696702553046914,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,25,0,-100.0,104,6202.0,140
133,content_6f179b443ccc,client_25fc0e7096,0.9696507405749275,Monitor,REVIEW,,3,0,,8,4857.0,138
134,content_8c54fb4a1849,client_8722616204,0.9695298463957668,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,5,0,,104,5709.0,140
135,content_37671ac79114,client_e29c9c180c,0.9694409407366505,Monitor,REVIEW,10.0,1,0,,20,5501.0,228
136,content_3b0fe65afa37,client_25fc0e7096,0.9693785430946292,Monitor,REVIEW,,3,0,,8,4906.0,109
137,content_f1e97729696f,client_8722616204,0.9693474448645896,Freshness review,STALE,10.0,1,0,,104,4605.0,145
138,content_60b1715cb390,client_8527a891e2,0.9693226918230401,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",2900.0,8,0,66.7,104,3983.0,348
139,content_76e33f4fd10a,client_25fc0e7096,0.9692889798352644,Monitor,REVIEW,,3,0,,8,4808.0,136
140,content_c2566ed2bace,client_8722616204,0.9692014235794522,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,1,0,,104,4829.0,145
141,content_2d000e9c8bed,client_25fc0e7096,0.9691949362019696,Monitor,REVIEW,,3,0,,8,4966.0,133
142,content_80f96fb0fe13,client_25fc0e7096,0.9691682366635839,Monitor,REVIEW,,3,0,,6,4726.0,123
143,content_c380b2499fec,client_25fc0e7096,0.9690819343748577,Monitor,REVIEW,,3,0,,8,4994.0,111
144,content_ec4165a1f12a,client_e29c9c180c,0.969052326573789,Monitor,REVIEW,10.0,1,0,,20,5204.0,228
145,content_35d886263722,client_25fc0e7096,0.9689836283140717,Monitor,REVIEW,,3,0,,8,4834.0,102
146,content_bc6bfc0cf284,client_25fc0e7096,0.9689702705920975,Monitor,REVIEW,,3,0,,8,4918.0,109
147,content_c383032e2898,client_e29c9c180c,0.9689356270442901,Monitor,REVIEW,10.0,1,0,,20,5131.0,230
148,content_75d5dd728a61,client_0b918943df,0.9685513120993448,Monitor,HIGH_DEMAND,3600.0,1,0,,8,4130.0,133
149,content_129753e3095f,client_19581e27de,0.9685211163634373,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,7,0,-50.0,305,,313
150,content_a52e78fd9bfa,client_6208ef0f77,0.9684796493855172,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,15,0,-100.0,104,6142.0,229
151,content_e42f025c0064,client_e29c9c180c,0.9684540300351017,Monitor,REVIEW,10.0,3,0,,20,5603.0,230
152,content_05ce7216680e,client_e29c9c180c,0.9684335175642232,Monitor,HIGH_DEMAND,40.0,1,0,,20,5165.0,231
153,content_31852bf5342c,client_25fc0e7096,0.9683168453454621,Monitor,REVIEW,,3,0,,8,4860.0,140
154,content_201a4a56f4d6,client_8527a891e2,0.9682756244424544,Monitor,HIGH_DEMAND,22200.0,2,0,,98,1420.0,146
155,content_e0ac7de49ebc,client_8722616204,0.9682232142662587,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,5,0,,104,5519.0,145
156,content_27c3b50c78af,client_25fc0e7096,0.9681802855290261,Monitor,REVIEW,,3,0,,8,4801.0,125
157,content_84a5010e772f,client_25fc0e7096,0.9681242684141619,Monitor,REVIEW,,3,0,,8,4657.0,133
158,content_396be9bdf649,client_e29c9c180c,0.9681165508912343,Monitor,REVIEW,0.0,1,0,,20,5445.0,225
159,content_d1e34d9cd84e,client_8722616204,0.9680891272156315,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,1,0,,104,5870.0,140
160,content_6d75021a71f7,client_25fc0e7096,0.9679739841219935,Monitor,REVIEW,,3,0,,8,4917.0,128
161,content_91bcdfc6502a,client_a88a7902cb,0.9679735785681971,Monitor,DECLINING,0.0,4,0,-100.0,28,5531.0,138
162,content_ee700c42ca02,client_6208ef0f77,0.9679721174193062,Monitor,HIGH_DEMAND,50.0,13,0,,20,5202.0,299
163,content_c636aa7bf5d8,client_25fc0e7096,0.9679143840783015,Monitor,REVIEW,,3,0,,8,4543.0,138
164,content_ba2d869f27c9,client_e29c9c180c,0.9679070655848254,Monitor,REVIEW,10.0,3,0,,20,5120.0,228
165,content_bfefd747bdff,client_8527a891e2,0.9678870734016577,Monitor,HIGH_DEMAND,140.0,3,0,,20,3926.0,348
166,content_221356f2a96a,client_e29c9c180c,0.9678690639891359,Monitor,HIGH_DEMAND,20.0,1,0,,20,5518.0,230
167,content_5857292e8945,client_8722616204,0.9678668136221601,Freshness review,STALE,10.0,1,0,,104,4738.0,145
168,content_d830de5e9a78,client_25fc0e7096,0.9678652159552318,Monitor,REVIEW,,3,0,,8,4606.0,124
169,content_ab18b5811c02,client_19581e27de,0.9678386610972777,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,5,0,-100.0,305,,313
170,content_3652a5b2e378,client_25fc0e7096,0.9678166431817133,Monitor,REVIEW,,3,0,,8,4714.0,124
171,content_5fab23c7c087,client_25fc0e7096,0.9677987904200848,Monitor,REVIEW,,3,0,,6,4764.0,129
172,content_6779e989f60f,client_25fc0e7096,0.9677803120273306,Monitor,REVIEW,,3,0,,8,4672.0,136
173,content_3123e4ae9692,client_25fc0e7096,0.9677631057924396,Monitor,REVIEW,,3,0,,8,4948.0,138
174,content_2a563844579c,client_25fc0e7096,0.967760658687729,Monitor,REVIEW,,3,0,,8,4723.0,101
175,content_d1e915d03c28,client_4e07408562,0.9677089844008234,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",140.0,2,0,-100.0,104,,537
176,content_9fb007756e5a,client_8527a891e2,0.9676830632129624,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",140.0,2,0,-100.0,20,3864.0,310
177,content_cfc26aebd38d,client_e29c9c180c,0.9676713166542065,Monitor,REVIEW,10.0,1,0,,20,5431.0,230
178,content_a7f8d9b4e308,client_25fc0e7096,0.9676109180033037,Monitor,REVIEW,,3,0,,8,4747.0,132
179,content_1daf723b5476,client_e29c9c180c,0.9675139513327867,Monitor,REVIEW,10.0,1,0,,20,5088.0,230
180,content_a8a42d1738e1,client_624b60c58c,0.9674672809479341,Freshness review,STALE,,26,0,,104,5295.0,128
181,content_2ad6d2bc6690,client_25fc0e7096,0.9674592552306267,Monitor,REVIEW,,3,0,,8,4739.0,132
182,content_67539ed19356,client_25fc0e7096,0.9674478191257003,Monitor,REVIEW,,3,0,,8,4726.0,97
183,content_ed977b929020,client_25fc0e7096,0.9674413472512716,Monitor,REVIEW,,3,0,,6,4692.0,112
184,content_b1d45033b059,client_e29c9c180c,0.9673911605621055,Monitor,REVIEW,0.0,2,0,,20,5328.0,225
